"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Erie County, New York!!Estimate","Erie County, New York!!Margin of Error","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","309,349,689","*****","19,392,283","*****","918,652","*****","261,210","±40"
"    Male:","152,089,450","±27,325","9,387,534","±4,174","443,364","±722","123,608","±2,815"
"        Under 5 years","10,295,148","±16,894","588,573","±1,953","25,310","±558","9,414","±1,414"
"        5 to 9 years","10,357,528","±37,252","582,563","±8,757","26,287","±2,126","7,386","±1,108"
"        10 to 14 years","10,694,165","±38,358","629,665","±9,075","30,797","±2,121","7,121","±1,139"
"        15 to 17 years","6,636,724","±12,438","406,019","±2,756","19,257","±595","5,369","±929"
"        18 and 19 years","4,715,886","±21,787","292,071","±2,908","13,932","±325","5,332","±1,070"
"        20 years","2,408,504","±28,052","159,889","±6,287","8,623","±1,263","2,727","±809"
"        21 years","2,309,243","±28,576","144,658","±5,857","6,803","±1,379","3,240","±1,068"
"        22 to 24 years","6,367,407","±35,449","411,514","±9,092","19,816","±1,660","6,897","±1,673"
"        25 to 29 years","10,540,760","±18,266","681,132","±2,717","29,399","±180","10,993","±1,783"
"        30 to 34 years","10,012,444","±19,642","629,100","±2,800","24,388","±586","7,978","±1,365"
"        35 to 39 years","10,055,878","±37,338","612,219","±9,404","24,564","±2,121","7,349","±1,263"
"        40 to 44 years","10,438,720","±35,042","665,020","±9,354","30,285","±2,210","7,560","±1,303"
"        45 to 49 years","11,170,409","±16,271","706,139","±2,246","33,523","±480","6,740","±1,072"
"        50 to 54 years","10,929,686","±15,066","688,860","±1,857","35,358","±458","9,765","±1,371"
"        55 to 59 years","9,528,114","±31,349","598,869","±7,851","31,332","±1,955","8,480","±1,384"
"        60 and 61 years","3,480,255","±25,381","210,275","±6,638","10,169","±1,547","2,278","±716"
"        62 to 64 years","4,714,934","±24,302","292,088","±7,716","15,174","±1,775","3,460","±1,071"
"        65 and 66 years","2,501,196","±22,016","151,306","±5,211","7,129","±1,082","1,152","±458"
"        67 to 69 years","3,367,779","±25,408","203,292","±5,506","9,935","±1,233","2,099","±658"
"        70 to 74 years","4,286,621","±22,828","259,012","±5,839","13,865","±1,300","3,012","±907"
"        75 to 79 years","3,172,839","±22,175","198,315","±5,245","10,012","±1,095","2,110","±633"
"        80 to 84 years","2,310,925","±20,796","153,509","±5,001","9,998","±1,200","1,657","±503"
"        85 years and over","1,794,285","±15,371","123,446","±4,057","7,408","±1,042","1,489","±597"
"    Female:","157,260,239","±27,325","10,004,749","±4,174","475,288","±722","137,602","±2,809"
"        Under 5 years","9,838,795","±17,583","562,246","±2,262","23,633","±523","8,104","±1,005"
"        5 to 9 years","10,033,931","±40,796","575,920","±7,982","26,667","±1,830","8,922","±1,370"
"        10 to 14 years","10,074,176","±35,606","583,041","±7,712","27,701","±1,824","7,402","±1,233"
"        15 to 17 years","6,234,898","±12,906","384,436","±2,181","18,726","±621","5,728","±1,030"
"        18 and 19 years","4,516,675","±26,030","283,665","±3,223","13,853","±715","4,855","±923"
"        20 years","2,321,363","±28,950","149,531","±6,948","8,753","±1,488","3,661","±1,218"
"        21 years","2,201,948","±26,982","144,787","±6,785","6,168","±1,291","2,921","±1,146"
"        22 to 24 years","6,054,365","±37,096","403,857","±7,091","18,657","±1,643","7,337","±1,486"
"        25 to 29 years","10,411,786","±16,572","697,474","±2,496","28,810","±203","11,622","±1,134"
"        30 to 34 years","10,007,093","±17,699","651,581","±2,672","25,070","±668","8,655","±1,084"
"        35 to 39 years","10,150,786","±43,958","626,287","±10,271","25,977","±2,122","6,655","±1,353"
"        40 to 44 years","10,546,944","±42,054","705,076","±9,525","31,334","±1,988","9,072","±1,452"
"        45 to 49 years","11,456,457","±13,157","745,903","±1,991","35,158","±504","7,947","±1,127"
"        50 to 54 years","11,372,481","±13,413","734,711","±2,189","37,932","±436","10,466","±1,162"
"        55 to 59 years","10,154,572","±35,539","647,565","±8,401","31,646","±1,587","9,388","±1,423"
"        60 and 61 years","3,742,216","±25,740","240,915","±7,105","12,282","±1,478","2,691","±683"
"        62 to 64 years","5,141,873","±29,107","332,586","±7,831","17,128","±1,581","4,036","±868"
"        65 and 66 years","2,792,712","±23,421","178,526","±5,200","9,049","±1,180","1,906","±615"
"        67 to 69 years","3,834,286","±26,704","240,960","±6,469","11,783","±1,429","3,177","±752"
"        70 to 74 years","5,071,441","±24,093","332,448","±6,359","18,014","±1,448","4,021","±1,058"
"        75 to 79 years","4,088,677","±23,121","271,078","±6,433","16,058","±1,521","3,666","±751"
"        80 to 84 years","3,446,609","±22,062","244,955","±6,396","14,966","±1,378","2,678","±618"
"        85 years and over","3,766,155","±23,735","267,201","±6,902","15,923","±1,544","2,692","±709"
