"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!Percent!!Estimate","New York!!Percent!!Margin of Error","New York!!Male!!Estimate","New York!!Male!!Margin of Error","New York!!Percent Male!!Estimate","New York!!Percent Male!!Margin of Error","New York!!Female!!Estimate","New York!!Female!!Margin of Error","New York!!Percent Female!!Estimate","New York!!Percent Female!!Margin of Error","Erie County, New York!!Total!!Estimate","Erie County, New York!!Total!!Margin of Error","Erie County, New York!!Percent!!Estimate","Erie County, New York!!Percent!!Margin of Error","Erie County, New York!!Male!!Estimate","Erie County, New York!!Male!!Margin of Error","Erie County, New York!!Percent Male!!Estimate","Erie County, New York!!Percent Male!!Margin of Error","Erie County, New York!!Female!!Estimate","Erie County, New York!!Female!!Margin of Error","Erie County, New York!!Percent Female!!Estimate","Erie County, New York!!Percent Female!!Margin of Error","Buffalo city, New York!!Total!!Estimate","Buffalo city, New York!!Total!!Margin of Error","Buffalo city, New York!!Percent!!Estimate","Buffalo city, New York!!Percent!!Margin of Error","Buffalo city, New York!!Male!!Estimate","Buffalo city, New York!!Male!!Margin of Error","Buffalo city, New York!!Percent Male!!Estimate","Buffalo city, New York!!Percent Male!!Margin of Error","Buffalo city, New York!!Female!!Estimate","Buffalo city, New York!!Female!!Margin of Error","Buffalo city, New York!!Percent Female!!Estimate","Buffalo city, New York!!Percent Female!!Margin of Error"
"Total population","328,239,523","*****","(X)","(X)","161,588,973","±34,808","(X)","(X)","166,650,550","±34,808","(X)","(X)","19,453,561","*****","(X)","(X)","9,450,810","±4,777","(X)","(X)","10,002,751","±4,777","(X)","(X)","918,702","*****","(X)","(X)","444,435","±106","(X)","(X)","474,267","±106","(X)","(X)","255,300","±64","(X)","(X)","121,608","±2,727","(X)","(X)","133,692","±2,721","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","19,404,835","±22,314","5.9%","±0.1","9,938,937","±19,654","6.2%","±0.1","9,465,898","±16,480","5.7%","±0.1","1,119,825","±2,401","5.8%","±0.1","573,384","±2,258","6.1%","±0.1","546,441","±2,615","5.5%","±0.1","50,101","*****","5.5%","*****","25,539","±94","5.7%","±0.1","24,562","±94","5.2%","±0.1","15,958","±1,515","6.3%","±0.6","8,055","±1,100","6.6%","±0.9","7,903","±887","5.9%","±0.7"
"        5 to 9 years","19,690,437","±69,224","6.0%","±0.1","10,033,518","±51,101","6.2%","±0.1","9,656,919","±47,933","5.8%","±0.1","1,052,163","±11,519","5.4%","±0.1","540,368","±9,536","5.7%","±0.1","511,795","±7,725","5.1%","±0.1","47,483","±2,661","5.2%","±0.3","24,124","±1,873","5.4%","±0.4","23,359","±1,687","4.9%","±0.4","14,902","±2,226","5.8%","±0.9","6,937","±1,478","5.7%","±1.2","7,965","±1,410","6.0%","±1.0"
"        10 to 14 years","21,423,479","±69,779","6.5%","±0.1","10,987,313","±52,483","6.8%","±0.1","10,436,166","±45,451","6.3%","±0.1","1,164,223","±11,908","6.0%","±0.1","596,605","±9,342","6.3%","±0.1","567,618","±8,110","5.7%","±0.1","54,877","±2,667","6.0%","±0.3","27,912","±1,873","6.3%","±0.4","26,965","±1,690","5.7%","±0.4","18,336","±1,953","7.2%","±0.8","10,084","±1,429","8.3%","±1.2","8,252","±1,328","6.2%","±1.0"
"        15 to 19 years","21,353,524","±36,116","6.5%","±0.1","10,903,653","±27,920","6.7%","±0.1","10,449,871","±27,410","6.3%","±0.1","1,187,268","±5,236","6.1%","±0.1","606,840","±4,228","6.4%","±0.1","580,428","±4,040","5.8%","±0.1","57,456","±752","6.3%","±0.1","28,881","±370","6.5%","±0.1","28,575","±656","6.0%","±0.1","18,757","±1,511","7.3%","±0.6","9,023","±1,026","7.4%","±0.8","9,734","±1,092","7.3%","±0.8"
"        20 to 24 years","21,468,680","±34,195","6.5%","±0.1","11,014,460","±22,949","6.8%","±0.1","10,454,220","±22,665","6.3%","±0.1","1,265,348","±5,735","6.5%","±0.1","632,805","±4,049","6.7%","±0.1","632,543","±3,597","6.3%","±0.1","58,803","±765","6.4%","±0.1","29,587","±404","6.7%","±0.1","29,216","±632","6.2%","±0.1","22,915","±2,046","9.0%","±0.8","11,470","±1,226","9.4%","±1.0","11,445","±1,586","8.6%","±1.1"
"        25 to 29 years","23,233,299","±29,995","7.1%","±0.1","11,817,829","±21,300","7.3%","±0.1","11,415,470","±18,024","6.8%","±0.1","1,459,455","±4,513","7.5%","±0.1","728,335","±2,745","7.7%","±0.1","731,120","±2,881","7.3%","±0.1","66,559","±262","7.2%","±0.1","33,723","±175","7.6%","±0.1","32,836","±196","6.9%","±0.1","24,972","±2,093","9.8%","±0.8","11,870","±1,214","9.8%","±1.0","13,102","±1,543","9.8%","±1.1"
"        30 to 34 years","22,345,176","±34,217","6.8%","±0.1","11,281,470","±23,076","7.0%","±0.1","11,063,706","±19,779","6.6%","±0.1","1,405,946","±4,955","7.2%","±0.1","707,042","±3,133","7.5%","±0.1","698,904","±3,091","7.0%","±0.1","65,326","±307","7.1%","±0.1","32,714","±198","7.4%","±0.1","32,612","±262","6.9%","±0.1","21,349","±1,905","8.4%","±0.7","10,417","±1,342","8.6%","±1.1","10,932","±1,242","8.2%","±0.9"
"        35 to 39 years","21,728,259","±61,731","6.6%","±0.1","10,892,040","±44,493","6.7%","±0.1","10,836,219","±39,187","6.5%","±0.1","1,256,240","±14,717","6.5%","±0.1","625,275","±10,676","6.6%","±0.1","630,965","±10,242","6.3%","±0.1","55,696","±3,129","6.1%","±0.3","27,020","±2,026","6.1%","±0.5","28,676","±2,024","6.0%","±0.4","17,633","±1,959","6.9%","±0.8","8,351","±1,555","6.9%","±1.3","9,282","±1,413","6.9%","±1.0"
"        40 to 44 years","20,186,586","±62,410","6.1%","±0.1","10,028,675","±45,069","6.2%","±0.1","10,157,911","±37,688","6.1%","±0.1","1,173,866","±14,219","6.0%","±0.1","572,584","±10,449","6.1%","±0.1","601,282","±9,953","6.0%","±0.1","49,770","±3,038","5.4%","±0.3","25,183","±1,973","5.7%","±0.4","24,587","±2,010","5.2%","±0.4","13,043","±1,607","5.1%","±0.6","6,094","±1,350","5.0%","±1.1","6,949","±1,026","5.2%","±0.8"
"        45 to 49 years","20,398,226","±28,275","6.2%","±0.1","10,079,567","±18,281","6.2%","±0.1","10,318,659","±18,352","6.2%","±0.1","1,196,601","±3,557","6.2%","±0.1","581,534","±2,725","6.2%","±0.1","615,067","±2,139","6.1%","±0.1","52,041","±419","5.7%","±0.1","25,196","±419","5.7%","±0.1","26,845","±2","5.7%","±0.1","13,736","±1,716","5.4%","±0.7","5,703","±952","4.7%","±0.8","8,033","±1,005","6.0%","±0.8"
"        50 to 54 years","20,464,881","±22,642","6.2%","±0.1","10,075,795","±16,185","6.2%","±0.1","10,389,086","±14,048","6.2%","±0.1","1,275,066","±3,406","6.6%","±0.1","619,252","±2,863","6.6%","±0.1","655,814","±1,938","6.6%","±0.1","59,646","±267","6.5%","±0.1","28,885","±132","6.5%","±0.1","30,761","±229","6.5%","±0.1","13,093","±1,368","5.1%","±0.5","7,094","±1,004","5.8%","±0.8","5,999","±1,009","4.5%","±0.7"
"        55 to 59 years","21,484,060","±58,829","6.5%","±0.1","10,440,265","±38,414","6.5%","±0.1","11,043,795","±38,535","6.6%","±0.1","1,319,671","±14,793","6.8%","±0.1","633,557","±9,852","6.7%","±0.1","686,114","±10,653","6.9%","±0.1","65,333","±3,499","7.1%","±0.4","31,111","±2,026","7.0%","±0.5","34,222","±2,238","7.2%","±0.5","14,694","±1,961","5.8%","±0.8","6,633","±1,202","5.5%","±1.0","8,061","±1,359","6.0%","±1.0"
"        60 to 64 years","20,984,053","±58,643","6.4%","±0.1","10,051,170","±38,298","6.2%","±0.1","10,932,883","±39,218","6.6%","±0.1","1,281,921","±14,546","6.6%","±0.1","611,428","±9,745","6.5%","±0.1","670,493","±10,915","6.7%","±0.1","66,604","±3,460","7.2%","±0.4","31,734","±2,045","7.1%","±0.5","34,870","±2,183","7.4%","±0.5","14,386","±1,592","5.6%","±0.6","6,978","±1,094","5.7%","±0.9","7,408","±1,187","5.5%","±0.9"
