"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Erie County, New York!!Estimate","Erie County, New York!!Margin of Error","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","323,127,515","*****","19,745,289","*****","921,046","*****","256,908","±38"
"    Male:","159,061,631","±26,978","9,582,050","±4,460","446,090","±693","123,296","±2,799"
"        Under 5 years","10,130,841","±16,406","589,598","±2,271","25,789","±138","10,466","±1,535"
"        5 to 9 years","10,487,494","±39,583","598,089","±8,436","26,982","±1,571","8,137","±1,238"
"        10 to 14 years","10,579,748","±40,352","577,890","±8,215","25,879","±1,559","7,886","±1,126"
"        15 to 17 years","6,480,400","±14,693","369,991","±1,995","17,585","±520","4,159","±728"
"        18 and 19 years","4,511,323","±21,516","264,735","±2,759","12,273","±533","4,529","±698"
"        20 years","2,355,103","±25,093","143,141","±5,431","6,893","±1,345","2,253","±620"
"        21 years","2,318,893","±32,204","136,605","±5,074","6,264","±1,203","2,364","±854"
"        22 to 24 years","6,731,345","±36,177","417,101","±6,779","18,757","±1,704","6,607","±1,367"
"        25 to 29 years","11,496,946","±18,544","750,834","±2,451","35,378","±307","12,450","±1,584"
"        30 to 34 years","10,901,776","±18,541","688,825","±2,614","30,144","±268","10,123","±1,415"
"        35 to 39 years","10,377,670","±37,412","629,692","±10,274","26,005","±1,564","8,029","±1,202"
"        40 to 44 years","9,837,971","±36,901","576,256","±10,110","23,912","±1,649","5,901","±1,147"
"        45 to 49 years","10,375,001","±15,006","640,712","±2,103","28,839","±634","7,211","±1,057"
"        50 to 54 years","10,726,369","±16,428","676,949","±2,438","31,779","±230","6,189","±856"
"        55 to 59 years","10,557,089","±34,982","644,266","±8,943","30,084","±1,762","7,159","±1,083"
"        60 and 61 years","3,971,452","±31,470","250,634","±6,906","13,606","±1,301","2,882","±761"
"        62 to 64 years","5,461,772","±27,670","332,952","±8,206","19,141","±1,667","4,313","±828"
"        65 and 66 years","3,301,033","±20,727","190,733","±5,372","8,505","±999","1,808","±529"
"        67 to 69 years","4,609,409","±25,477","268,148","±4,967","14,270","±1,237","2,867","±810"
"        70 to 74 years","5,498,831","±28,260","323,840","±6,087","16,946","±1,338","3,508","±701"
"        75 to 79 years","3,717,778","±21,953","210,253","±4,814","10,478","±1,130","1,645","±404"
"        80 to 84 years","2,460,143","±17,440","155,132","±5,172","8,349","±1,044","1,465","±490"
"        85 years and over","2,173,244","±16,718","145,674","±4,300","8,232","±946","1,345","±313"
"    Female:","164,065,884","±26,978","10,163,239","±4,460","474,956","±693","133,612","±2,795"
"        Under 5 years","9,667,713","±18,409","569,421","±2,050","24,279","±96","7,691","±968"
"        5 to 9 years","9,995,616","±39,495","555,993","±8,453","24,214","±1,861","7,076","±1,139"
"        10 to 14 years","10,126,049","±37,510","566,834","±8,203","26,934","±1,911","7,574","±1,203"
"        15 to 17 years","6,169,882","±11,402","351,570","±1,947","17,256","±526","5,101","±929"
"        18 and 19 years","4,330,296","±22,515","261,298","±3,424","12,228","±111","4,260","±826"
"        20 years","2,240,006","±26,412","137,170","±6,122","6,536","±1,032","2,795","±713"
"        21 years","2,162,305","±24,114","135,419","±5,886","6,240","±1,019","1,853","±655"
"        22 to 24 years","6,365,021","±35,524","416,842","±7,101","19,028","±1,329","8,825","±1,621"
"        25 to 29 years","11,191,021","±16,898","750,478","±2,340","33,888","±208","12,092","±1,239"
"        30 to 34 years","10,800,505","±16,178","696,651","±2,594","29,804","±203","10,453","±1,108"
"        35 to 39 years","10,472,556","±36,939","650,106","±9,778","28,638","±1,771","9,678","±1,377"
"        40 to 44 years","9,967,395","±39,630","604,230","±9,625","22,780","±1,679","5,912","±1,085"
"        45 to 49 years","10,562,933","±15,472","673,878","±1,929","30,244","±469","6,724","±1,112"
"        50 to 54 years","11,091,287","±14,543","717,169","±1,851","33,438","±199","7,806","±823"
"        55 to 59 years","11,157,614","±36,157","698,517","±8,925","34,664","±1,945","9,519","±1,232"
"        60 and 61 years","4,311,444","±28,305","269,464","±6,280","14,893","±1,332","3,739","±877"
"        62 to 64 years","5,999,514","±33,605","371,198","±7,844","19,286","±1,615","4,275","±829"
"        65 and 66 years","3,647,935","±25,134","227,920","±6,353","11,328","±1,610","2,612","±691"
"        67 to 69 years","5,198,759","±29,179","312,193","±6,233","15,005","±1,355","3,274","±740"
"        70 to 74 years","6,425,841","±27,427","392,203","±6,533","20,474","±1,703","4,217","±768"
"        75 to 79 years","4,649,877","±30,396","286,156","±6,018","15,708","±1,484","2,451","±610"
"        80 to 84 years","3,428,939","±24,123","222,657","±5,698","12,356","±1,407","1,958","±592"
"        85 years and over","4,103,376","±28,830","295,872","±6,689","15,735","±1,268","3,727","±888"
