tract,total_unemployment_rate,estimate,moe
1.10,total_unemployment_rate,1997,238
2,total_unemployment_rate,2996,248
5,total_unemployment_rate,1342,127
6,total_unemployment_rate,3564,298
7,total_unemployment_rate,2961,198
8,total_unemployment_rate,3751,268
9,total_unemployment_rate,1970,163
10,total_unemployment_rate,4903,435
11,total_unemployment_rate,2320,177
14.02,total_unemployment_rate,2191,237
15,total_unemployment_rate,1245,166
16,total_unemployment_rate,1888,289
17,total_unemployment_rate,1389,157
19,total_unemployment_rate,2711,347
23,total_unemployment_rate,2728,269
24,total_unemployment_rate,2936,315
25.02,total_unemployment_rate,1527,174
27.02,total_unemployment_rate,2124,260
28,total_unemployment_rate,1495,176
29,total_unemployment_rate,1330,174
30,total_unemployment_rate,2027,261
31,total_unemployment_rate,2083,294
33.01,total_unemployment_rate,2691,304
33.02,total_unemployment_rate,2233,299
34,total_unemployment_rate,2071,307
35,total_unemployment_rate,2237,320
36,total_unemployment_rate,2311,318
37,total_unemployment_rate,2906,320
38,total_unemployment_rate,2121,260
39.01,total_unemployment_rate,763,144
40.01,total_unemployment_rate,3283,299
41,total_unemployment_rate,3428,259
42,total_unemployment_rate,2734,280
43,total_unemployment_rate,4891,508
44.01,total_unemployment_rate,3402,220
44.02,total_unemployment_rate,1692,241
45,total_unemployment_rate,4608,372
46.01,total_unemployment_rate,3051,337
46.02,total_unemployment_rate,1054,200
47,total_unemployment_rate,5157,646
48,total_unemployment_rate,3277,294
49,total_unemployment_rate,5196,579
50,total_unemployment_rate,2006,240
51,total_unemployment_rate,3731,341
52.01,total_unemployment_rate,2564,247
52.02,total_unemployment_rate,2639,252
53,total_unemployment_rate,1544,146
54,total_unemployment_rate,3226,239
55,total_unemployment_rate,3093,317
56,total_unemployment_rate,3071,276
57,total_unemployment_rate,2361,273
58.01,total_unemployment_rate,2422,330
58.02,total_unemployment_rate,3294,293
59,total_unemployment_rate,2972,444
61,total_unemployment_rate,3259,360
62.01,total_unemployment_rate,2084,232
63.01,total_unemployment_rate,3593,393
63.02,total_unemployment_rate,2341,269
65.01,total_unemployment_rate,2459,328
66.01,total_unemployment_rate,1844,230
66.02,total_unemployment_rate,2242,216
67.01,total_unemployment_rate,2937,465
67.02,total_unemployment_rate,2692,271
68,total_unemployment_rate,2682,386
69.01,total_unemployment_rate,2858,319
69.02,total_unemployment_rate,3413,316
70,total_unemployment_rate,2343,270
71.01,total_unemployment_rate,2705,273
71.02,total_unemployment_rate,2089,216
72.02,total_unemployment_rate,1418,120
163,total_unemployment_rate,1564,206
164,total_unemployment_rate,2255,248
165,total_unemployment_rate,1688,194
166,total_unemployment_rate,1870,264
167,total_unemployment_rate,1828,171
168,total_unemployment_rate,2766,308
169,total_unemployment_rate,3625,707
170,total_unemployment_rate,2281,238
171,total_unemployment_rate,2644,364
174,total_unemployment_rate,2845,267
