zip_code,age_sex_totals,estimate,moe
14201,total_under_5,515,171
14201,total_5_9,713,162
14201,total_10_14,1040,210
14201,total_15_19,741,208
14201,total_20_24,755,219
14201,total_25_29,1194,279
14201,total_30_34,968,247
14201,total_35_39,873,226
14201,total_40_44,759,261
14201,total_45_49,632,175
14201,total_50_54,457,174
14201,total_55_59,544,144
14201,total_60_64,666,193
14201,total_65_69,523,164
14201,total_70_74,312,102
14201,total_75_79,196,96
14201,total_80_84,201,91
14201,total_85_older,103,64
14201,total_male,NA,NA
14201,total_female,5392,603
14202,total_under_5,148,153
14202,total_5_9,245,143
14202,total_10_14,94,75
14202,total_15_19,102,74
14202,total_20_24,270,106
14202,total_25_29,466,166
14202,total_30_34,424,111
14202,total_35_39,339,178
14202,total_40_44,134,48
14202,total_45_49,375,160
14202,total_50_54,101,47
14202,total_55_59,314,98
14202,total_60_64,290,127
14202,total_65_69,130,49
14202,total_70_74,147,57
14202,total_75_79,69,31
14202,total_80_84,30,20
14202,total_85_older,71,46
14202,total_male,NA,NA
14202,total_female,2179,351
14203,total_under_5,55,45
14203,total_5_9,27,16
14203,total_10_14,46,40
14203,total_15_19,23,30
14203,total_20_24,155,100
14203,total_25_29,322,117
14203,total_30_34,288,125
14203,total_35_39,62,33
14203,total_40_44,39,27
14203,total_45_49,63,41
14203,total_50_54,72,48
14203,total_55_59,170,88
14203,total_60_64,182,127
14203,total_65_69,113,85
14203,total_70_74,41,41
14203,total_75_79,30,32
14203,total_80_84,21,27
14203,total_85_older,110,70
14203,total_male,NA,NA
14203,total_female,777,192
14204,total_under_5,609,248
14204,total_5_9,521,172
14204,total_10_14,429,151
14204,total_15_19,219,103
14204,total_20_24,415,189
14204,total_25_29,918,235
14204,total_30_34,400,164
14204,total_35_39,337,119
14204,total_40_44,423,164
14204,total_45_49,534,160
14204,total_50_54,361,126
14204,total_55_59,725,178
14204,total_60_64,744,237
14204,total_65_69,404,129
14204,total_70_74,323,129
14204,total_75_79,146,56
14204,total_80_84,238,147
14204,total_85_older,257,166
14204,total_male,NA,NA
14204,total_female,3754,521
14206,total_under_5,950,223
14206,total_5_9,1223,336
14206,total_10_14,1129,295
14206,total_15_19,1236,233
14206,total_20_24,1250,287
