zip_code,total_unemployment_rate,estimate,moe
14201,total_unemployment_rate,5.3,2.2
14202,total_unemployment_rate,3.3,3.4
14203,total_unemployment_rate,5,2.9
14204,total_unemployment_rate,10,4.4
14206,total_unemployment_rate,7,2.1
14207,total_unemployment_rate,6,2.1
14209,total_unemployment_rate,8.8,3.5
14210,total_unemployment_rate,7.1,2.5
14211,total_unemployment_rate,12.7,3.6
14212,total_unemployment_rate,13,4.7
14213,total_unemployment_rate,4.9,1.5
14214,total_unemployment_rate,5.6,2
14215,total_unemployment_rate,9.5,1.8
14216,total_unemployment_rate,2.8,1.5
14220,total_unemployment_rate,5.6,2
14222,total_unemployment_rate,3.3,1.1
