tract,total_population,estimate,moe
1.10,total,2854,347
2,total,4150,437
5,total,2076,360
6,total,4510,427
7,total,3772,278
8,total,4729,458
9,total,2411,231
10,total,5160,575
11,total,2861,261
14.02,total,2870,369
15,total,1522,197
16,total,2003,327
17,total,1665,242
19,total,2976,236
23,total,3377,396
24,total,4429,532
25.02,total,2019,203
27.02,total,2600,442
28,total,2095,320
29,total,2001,335
30,total,2579,378
31,total,2043,349
33.01,total,3860,446
33.02,total,3170,466
34,total,2337,300
35,total,2980,315
36,total,2706,416
37,total,4336,543
38,total,3008,312
39.01,total,987,122
40.01,total,4585,530
41,total,4429,361
42,total,3475,458
43,total,6011,754
44.01,total,4339,469
44.02,total,2720,256
45,total,5815,558
46.01,total,3272,330
46.02,total,1194,240
47,total,5841,466
48,total,4212,252
49,total,6000,582
50,total,2411,301
51,total,4539,379
52.01,total,2890,381
52.02,total,3053,271
53,total,1657,156
54,total,4057,295
55,total,3872,441
56,total,4344,378
57,total,2439,287
58.01,total,3396,439
58.02,total,4622,448
59,total,3859,433
61,total,4864,564
62.01,total,1920,291
63.01,total,4647,392
63.02,total,2646,269
65.01,total,2802,380
66.01,total,2695,384
66.02,total,2220,269
67.01,total,3153,327
67.02,total,2950,246
68,total,3975,611
69.01,total,3291,531
69.02,total,4067,374
70,total,3011,422
71.01,total,3779,366
71.02,total,2928,397
72.02,total,1832,131
163,total,2574,383
164,total,3046,418
165,total,1561,188
166,total,2573,412
167,total,2072,227
168,total,3594,502
169,total,3736,461
170,total,2885,313
171,total,5578,728
174,total,4220,350
