tract,total_w_poverty_status,estimate,moe
2,total_poverty,3985,649
5,total_poverty,1641,306
6,total_poverty,4207,544
7,total_poverty,3389,447
8,total_poverty,4633,733
9,total_poverty,2438,353
10,total_poverty,6011,943
11,total_poverty,2755,337
15,total_poverty,1511,332
17,total_poverty,1910,415
19,total_poverty,3295,552
23,total_poverty,3451,580
24,total_poverty,3285,530
25.02,total_poverty,1807,303
29,total_poverty,1729,346
30,total_poverty,2807,866
31,total_poverty,2379,518
33.01,total_poverty,3321,700
33.02,total_poverty,2410,375
34,total_poverty,2873,641
36,total_poverty,2621,434
37,total_poverty,3644,622
38,total_poverty,3096,602
39.01,total_poverty,913,264
41,total_poverty,4354,610
42,total_poverty,3865,818
43,total_poverty,6666,1276
44.01,total_poverty,4966,615
44.02,total_poverty,2474,495
45,total_poverty,5219,778
46.01,total_poverty,3372,511
48,total_poverty,3805,605
50,total_poverty,2140,361
51,total_poverty,4384,705
52.01,total_poverty,3167,443
52.02,total_poverty,2018,268
53,total_poverty,871,155
54,total_poverty,3865,497
55,total_poverty,4271,704
56,total_poverty,3960,658
57,total_poverty,3178,640
58.01,total_poverty,3420,557
58.02,total_poverty,4511,773
59,total_poverty,4141,739
61,total_poverty,4761,816
63.01,total_poverty,4155,736
63.02,total_poverty,2402,355
65.01,total_poverty,2684,458
66.01,total_poverty,2511,587
66.02,total_poverty,2250,416
67.01,total_poverty,3013,624
67.02,total_poverty,3101,638
69.01,total_poverty,4012,825
70,total_poverty,2546,518
71.02,total_poverty,2321,347
72.02,total_poverty,1584,229
163,total_poverty,1889,369
164,total_poverty,2783,620
166,total_poverty,2748,490
167,total_poverty,2191,340
169,total_poverty,3238,506
170,total_poverty,2661,583
171,total_poverty,3458,742
