zip_code,race,estimate,moe
14201,total,11192,876
14201,white,5429,605
14201,black,2530,594
14201,american_indian_alaskan_native,91,120
14201,asian,185,116
14201,native_hawaiian_pacific_islander,0,19
14201,some_other_race,1961,480
14201,two_or_more_races,996,414
14201,two_races_w_some_other,524,402
14201,two_race_no_other_three_more,472,182
14202,total,3749,604
14202,white,2246,300
14202,black,1071,477
14202,american_indian_alaskan_native,29,25
14202,asian,68,44
14202,native_hawaiian_pacific_islander,0,12
14202,some_other_race,259,129
14202,two_or_more_races,76,60
14202,two_races_w_some_other,30,34
14202,two_race_no_other_three_more,46,45
14203,total,1819,283
14203,white,709,180
14203,black,676,176
14203,american_indian_alaskan_native,11,20
14203,asian,132,79
14203,native_hawaiian_pacific_islander,0,12
14203,some_other_race,232,186
14203,two_or_more_races,59,42
14203,two_races_w_some_other,42,37
14203,two_race_no_other_three_more,17,14
14204,total,8003,804
14204,white,1681,324
14204,black,5869,760
14204,american_indian_alaskan_native,0,17
14204,asian,66,76
14204,native_hawaiian_pacific_islander,2,5
14204,some_other_race,221,148
14204,two_or_more_races,164,123
14204,two_races_w_some_other,26,30
14204,two_race_no_other_three_more,138,105
14206,total,20064,1307
14206,white,15074,1173
14206,black,2229,398
14206,american_indian_alaskan_native,150,94
14206,asian,658,377
14206,native_hawaiian_pacific_islander,0,23
14206,some_other_race,1131,508
14206,two_or_more_races,822,348
14206,two_races_w_some_other,96,68
14206,two_race_no_other_three_more,726,326
14207,total,23773,1534
14207,white,11353,1156
14207,black,3825,655
14207,american_indian_alaskan_native,64,47
14207,asian,2998,771
14207,native_hawaiian_pacific_islander,0,23
14207,some_other_race,2480,571
14207,two_or_more_races,3053,913
14207,two_races_w_some_other,1088,514
14207,two_race_no_other_three_more,1965,744
14209,total,7807,1117
14209,white,3829,649
14209,black,3352,797
14209,american_indian_alaskan_native,39,35
14209,asian,192,113
14209,native_hawaiian_pacific_islander,0,17
14209,some_other_race,174,78
14209,two_or_more_races,221,112
14209,two_races_w_some_other,13,18
14209,two_race_no_other_three_more,208,111
14210,total,14148,1222
14210,white,11766,1171
14210,black,988,427
14210,american_indian_alaskan_native,291,177
14210,asian,159,148
14210,native_hawaiian_pacific_islander,0,19
14210,some_other_race,417,266
14210,two_or_more_races,527,226
14210,two_races_w_some_other,63,60
14210,two_race_no_other_three_more,464,214
14211,total,22206,1680
14211,white,3189,543
14211,black,14319,1265
14211,american_indian_alaskan_native,81,59
14211,asian,2818,790
14211,native_hawaiian_pacific_islander,0,23
14211,some_other_race,666,308
14211,two_or_more_races,1133,393
14211,two_races_w_some_other,227,240
14211,two_race_no_other_three_more,906,274
14212,total,10973,980
14212,white,4690,519
14212,black,3506,735
14212,american_indian_alaskan_native,129,90
14212,asian,1490,452
14212,native_hawaiian_pacific_islander,0,19
14212,some_other_race,535,324
14212,two_or_more_races,623,307
14212,two_races_w_some_other,245,215
14212,two_race_no_other_three_more,378,228
14213,total,22132,1829
14213,white,10554,1156
14213,black,4575,918
14213,american_indian_alaskan_native,165,86
14213,asian,2816,774
14213,native_hawaiian_pacific_islander,0,23
14213,some_other_race,2501,743
14213,two_or_more_races,1521,447
14213,two_races_w_some_other,735,265
14213,two_race_no_other_three_more,786,308
14214,total,19754,1363
14214,white,9932,959
14214,black,6153,806
14214,american_indian_alaskan_native,102,62
14214,asian,1862,432
14214,native_hawaiian_pacific_islander,121,104
14214,some_other_race,636,301
14214,two_or_more_races,948,413
14214,two_races_w_some_other,216,135
14214,two_race_no_other_three_more,732,371
14215,total,41340,2760
14215,white,6639,1351
14215,black,30027,1963
14215,american_indian_alaskan_native,55,49
14215,asian,1462,734
14215,native_hawaiian_pacific_islander,22,35
14215,some_other_race,816,326
14215,two_or_more_races,2319,686
14215,two_races_w_some_other,282,187
14215,two_race_no_other_three_more,2037,664
14216,total,21464,1351
14216,white,16110,1225
14216,black,3007,617
14216,american_indian_alaskan_native,62,58
14216,asian,318,143
14216,native_hawaiian_pacific_islander,0,23
14216,some_other_race,1096,413
14216,two_or_more_races,871,295
14216,two_races_w_some_other,390,200
14216,two_race_no_other_three_more,481,225
14220,total,22641,1304
14220,white,19814,1178
14220,black,875,606
14220,american_indian_alaskan_native,69,88
14220,asian,346,373
14220,native_hawaiian_pacific_islander,13,19
14220,some_other_race,598,282
14220,two_or_more_races,926,367
14220,two_races_w_some_other,507,260
14220,two_race_no_other_three_more,419,180
14222,total,15103,1231
14222,white,11087,1246
14222,black,2185,366
14222,american_indian_alaskan_native,36,33
14222,asian,665,207
14222,native_hawaiian_pacific_islander,0,19
14222,some_other_race,512,199
14222,two_or_more_races,618,280
14222,two_races_w_some_other,259,191
14222,two_race_no_other_three_more,359,177
