year,race,estimate,moe
2010,total,918652,NA
2010,white,737116,2847
2010,black,119408,2952
2010,american_indian_alaskan_native,6006,1081
2010,asian,22674,2749
2010,native_hawaiian_pacific_islander,104,174
2010,some_other_race,13240,2958
2010,two_or_more_races,20104,3822
2010,two_races_w_some_other,1590,954
2010,two_race_no_other_three_more,18514,3828
2011,total,918028,NA
2011,white,731627,3262
2011,black,118821,2758
2011,american_indian_alaskan_native,4326,720
2011,asian,24739,1193
2011,native_hawaiian_pacific_islander,62,69
2011,some_other_race,15958,2990
2011,two_or_more_races,22495,3459
2011,two_races_w_some_other,4039,1635
2011,two_race_no_other_three_more,18456,2985
2012,total,919086,NA
2012,white,727304,2469
2012,black,122531,2592
2012,american_indian_alaskan_native,4172,959
2012,asian,26485,1123
2012,native_hawaiian_pacific_islander,173,286
2012,some_other_race,19717,2498
2012,two_or_more_races,18704,2669
2012,two_races_w_some_other,2687,1264
2012,two_race_no_other_three_more,16017,2617
2013,total,919866,NA
2013,white,722473,2996
2013,black,122738,2352
2013,american_indian_alaskan_native,3933,881
2013,asian,27114,1198
2013,native_hawaiian_pacific_islander,240,131
2013,some_other_race,22214,2910
2013,two_or_more_races,21154,3043
2013,two_races_w_some_other,3959,1227
2013,two_race_no_other_three_more,17195,2891
2014,total,922835,NA
2014,white,720192,2668
2014,black,124150,2920
2014,american_indian_alaskan_native,4483,815
2014,asian,30501,1473
2014,native_hawaiian_pacific_islander,360,291
2014,some_other_race,21162,2645
2014,two_or_more_races,21987,3664
2014,two_races_w_some_other,4152,1229
2014,two_race_no_other_three_more,17835,3218
2015,total,922578,NA
2015,white,718294,3386
2015,black,126063,2299
2015,american_indian_alaskan_native,4275,1715
2015,asian,32105,1390
2015,native_hawaiian_pacific_islander,285,252
2015,some_other_race,23033,3242
2015,two_or_more_races,18523,2904
2015,two_races_w_some_other,3655,1801
2015,two_race_no_other_three_more,14868,2721
2016,total,921046,NA
2016,white,718970,3294
2016,black,122691,2436
2016,american_indian_alaskan_native,4730,1272
2016,asian,34132,1166
2016,native_hawaiian_pacific_islander,405,162
2016,some_other_race,18740,3307
2016,two_or_more_races,21378,3354
2016,two_races_w_some_other,3686,1667
2016,two_race_no_other_three_more,17692,2714
2017,total,925528,NA
2017,white,716718,2979
2017,black,123182,3581
2017,american_indian_alaskan_native,4812,1002
2017,asian,33896,1793
2017,native_hawaiian_pacific_islander,234,211
2017,some_other_race,20568,2955
2017,two_or_more_races,26118,3993
2017,two_races_w_some_other,4210,1587
2017,two_race_no_other_three_more,21908,3615
2018,total,919719,NA
2018,white,711887,2775
2018,black,121796,2629
2018,american_indian_alaskan_native,4117,953
2018,asian,34361,1559
2018,native_hawaiian_pacific_islander,22,43
2018,some_other_race,22467,2784
2018,two_or_more_races,25069,3450
2018,two_races_w_some_other,4447,1639
2018,two_race_no_other_three_more,20622,3118
2019,total,918702,NA
2019,white,709543,2585
2019,black,125408,2751
2019,american_indian_alaskan_native,5451,823
2019,asian,35121,1503
2019,native_hawaiian_pacific_islander,287,302
2019,some_other_race,21974,3190
2019,two_or_more_races,20918,3515
2019,two_races_w_some_other,2043,1066
2019,two_race_no_other_three_more,18875,3330
