year,race,estimate,moe
2010,total,19392283,NA
2010,white,12775673,26664
2010,black,3015272,17302
2010,american_indian_alaskan_native,71792,5491
2010,asian,1433875,9785
2010,native_hawaiian_pacific_islander,6597,1710
2010,some_other_race,1575686,27562
2010,two_or_more_races,513388,13896
2010,two_races_w_some_other,143739,8977
2010,two_race_no_other_three_more,369649,14197
2011,total,19465197,NA
2011,white,12710382,29843
2011,black,3036099,16183
2011,american_indian_alaskan_native,67731,4685
2011,asian,1447760,9725
2011,native_hawaiian_pacific_islander,5562,2536
2011,some_other_race,1670880,32891
2011,two_or_more_races,526783,16971
2011,two_races_w_some_other,161456,12351
2011,two_race_no_other_three_more,365327,12488
2012,total,19570261,NA
2012,white,12767396,31188
2012,black,3046610,15504
2012,american_indian_alaskan_native,73392,5772
2012,asian,1498346,8087
2012,native_hawaiian_pacific_islander,7456,2870
2012,some_other_race,1644049,29249
2012,two_or_more_races,533012,16272
2012,two_races_w_some_other,156134,9565
2012,two_race_no_other_three_more,376878,12320
2013,total,19651127,NA
2013,white,12695280,28799
2013,black,3079582,16847
2013,american_indian_alaskan_native,73231,5463
2013,asian,1554980,9200
2013,native_hawaiian_pacific_islander,9962,3006
2013,some_other_race,1673398,31480
2013,two_or_more_races,564694,20017
2013,two_races_w_some_other,152684,11512
2013,two_race_no_other_three_more,412010,15514
2014,total,19746227,NA
2014,white,12634312,30471
2014,black,3093476,17224
2014,american_indian_alaskan_native,81512,6631
2014,asian,1613255,8423
2014,native_hawaiian_pacific_islander,4574,1304
2014,some_other_race,1746680,33590
2014,two_or_more_races,572418,19210
2014,two_races_w_some_other,137065,8803
2014,two_race_no_other_three_more,435353,17034
2015,total,19795791,NA
2015,white,12621132,30579
2015,black,3081333,16953
2015,american_indian_alaskan_native,69933,5571
2015,asian,1672186,9568
2015,native_hawaiian_pacific_islander,6446,1887
2015,some_other_race,1763351,31551
2015,two_or_more_races,581410,23387
2015,two_races_w_some_other,142861,10778
2015,two_race_no_other_three_more,438549,18484
2016,total,19745289,NA
2016,white,12530463,29879
2016,black,3080534,18978
2016,american_indian_alaskan_native,73052,6204
2016,asian,1668036,11780
2016,native_hawaiian_pacific_islander,9236,2216
2016,some_other_race,1767107,34876
2016,two_or_more_races,616861,22455
2016,two_races_w_some_other,148081,12174
2016,two_race_no_other_three_more,468780,19051
2017,total,19849399,NA
2017,white,12523357,35841
2017,black,3136984,21590
2017,american_indian_alaskan_native,76069,6649
2017,asian,1734663,11426
2017,native_hawaiian_pacific_islander,7397,1742
2017,some_other_race,1768858,37683
2017,two_or_more_races,602071,18354
2017,two_races_w_some_other,152509,11867
2017,two_race_no_other_three_more,449562,14651
2018,total,19542209,NA
2018,white,12375601,34083
2018,black,3069259,17064
2018,american_indian_alaskan_native,84312,6183
2018,asian,1666113,12409
2018,native_hawaiian_pacific_islander,9424,2807
2018,some_other_race,1689845,40232
2018,two_or_more_races,647655,24504
2018,two_races_w_some_other,152400,12747
2018,two_race_no_other_three_more,495255,20870
2019,total,19453561,NA
2019,white,12293680,31896
2019,black,3084304,17635
2019,american_indian_alaskan_native,73560,6588
2019,asian,1680219,9869
2019,native_hawaiian_pacific_islander,8277,2421
2019,some_other_race,1664223,33219
2019,two_or_more_races,649298,19354
2019,two_races_w_some_other,149030,10108
2019,two_race_no_other_three_more,500268,17521
