race,us_estimated_total,us_overall_total,us_margin_of_error,ny_estimated_total,ny_overall_total,ny_margin_of_error,erie_estimated_total,erie_overall_total,erie_margin_of_error,buffalo_estimated_total,buffalo_overall_total,buffalo_margin_of_error,year
White ,229397472,309349689,133343,12775673,19392283,26664,737116,918652,2847,135264,261210,5775,2010
Black or African American ,38874625,309349689,51551,3015272,19392283,17302,119408,918652,2952,99988,261210,4242,2010
American Indian and Alaska Native ,2553566,309349689,28633,71792,19392283,5491,6006,918652,1081,1496,261210,883,2010
Asian ,14728302,309349689,30199,1433875,19392283,9785,22674,918652,2749,9856,261210,2397,2010
Native Hawaiian and Other Pacific Islander ,507916,309349689,9515,6597,19392283,1710,104,918652,174,104,261210,174,2010
Some other race ,14889440,309349689,118731,1575686,19392283,27562,13240,918652,2958,7729,261210,2561,2010
Two or more races,8398368,309349689,78458,513388,19392283,13896,20104,918652,3822,6773,261210,2030,2010
Two races including Some other race,1499425,309349689,36850,143739,19392283,8977,1590,918652,954,958,261210,895,2010
"Two races excluding Some other race, and three or more races",6898943,309349689,64162,369649,19392283,14197,18514,918652,3828,5815,261210,1876,2010
White ,230838975,311591919,111437,12710382,19465197,29843,731627,918028,3262,131274,261004,4404,2011
Black or African American ,39189528,311591919,54434,3036099,19465197,16183,118821,918028,2758,96909,261004,4143,2011
American Indian and Alaska Native ,2547006,311591919,34004,67731,19465197,4685,4326,918028,720,1317,261004,537,2011
Asian ,15020419,311591919,34584,1447760,19465197,9725,24739,918028,1193,8238,261004,1970,2011
Native Hawaiian and Other Pacific Islander ,506017,311591919,13644,5562,19465197,2536,62,918028,69,62,261004,69,2011
Some other race ,14768156,311591919,109197,1670880,19465197,32891,15958,918028,2990,11360,261004,2665,2011
Two or more races,8721818,311591919,93574,526783,19465197,16971,22495,918028,3459,11844,261004,2564,2011
Two races including Some other race,1483050,311591919,42974,161456,19465197,12351,4039,918028,1635,2944,261004,1428,2011
"Two races excluding Some other race, and three or more races",7238768,311591919,74216,365327,19465197,12488,18456,918028,2985,8900,261004,2332,2011
White ,231992377,313914040,113230,12767396,19570261,31188,727304,919086,2469,128663,259386,4389,2012
Black or African American ,39623138,313914040,57930,3046610,19570261,15504,122531,919086,2592,95223,259386,3526,2012
American Indian and Alaska Native ,2563505,313914040,26160,73392,19570261,5772,4172,919086,959,1140,259386,708,2012
Asian ,15555530,313914040,32545,1498346,19570261,8087,26485,919086,1123,11733,259386,1856,2012
Native Hawaiian and Other Pacific Islander ,543198,313914040,14210,7456,19570261,2870,173,919086,286,173,259386,286,2012
Some other race ,14562678,313914040,120810,1644049,19570261,29249,19717,919086,2498,13519,259386,2472,2012
Two or more races,9073614,313914040,79997,533012,19570261,16272,18704,919086,2669,8935,259386,1912,2012
Two races including Some other race,1521288,313914040,34724,156134,19570261,9565,2687,919086,1264,1569,259386,929,2012
"Two races excluding Some other race, and three or more races",7552326,313914040,65626,376878,19570261,12320,16017,919086,2617,7366,259386,1807,2012
White ,232969901,316128839,125843,12695280,19651127,28799,722473,919866,2996,123198,258945,5186,2013
Black or African American ,39919371,316128839,55395,3079582,19651127,16847,122738,919866,2352,96248,258945,3683,2013
American Indian and Alaska Native ,2521131,316128839,28182,73231,19651127,5463,3933,919866,881,829,258945,422,2013
Asian ,16012120,316128839,35390,1554980,19651127,9200,27114,919866,1198,10830,258945,2527,2013
Native Hawaiian and Other Pacific Islander ,525750,316128839,11725,9962,19651127,3006,240,919866,131,17,258945,37,2013
Some other race ,14811025,316128839,129173,1673398,19651127,31480,22214,919866,2910,17430,258945,2718,2013
Two or more races,9369541,316128839,76341,564694,19651127,20017,21154,919866,3043,10393,258945,2602,2013
Two races including Some other race,1484036,316128839,29983,152684,19651127,11512,3959,919866,1227,2387,258945,1161,2013
"Two races excluding Some other race, and three or more races",7885505,316128839,62565,412010,19651127,15514,17195,919866,2891,8006,258945,2333,2013
White ,233963128,318857056,99837,12634312,19746227,30471,720192,922835,2668,122457,258699,4407,2014
Black or African American ,40379066,318857056,57749,3093476,19746227,17224,124150,922835,2920,96258,258699,3859,2014
American Indian and Alaska Native ,2601714,318857056,27827,81512,19746227,6631,4483,922835,815,1387,258699,647,2014
Asian ,16686960,318857056,33816,1613255,19746227,8423,30501,922835,1473,14543,258699,2361,2014
Native Hawaiian and Other Pacific Islander ,557154,318857056,12419,4574,19746227,1304,360,922835,291,85,258699,141,2014
Some other race ,15063263,318857056,109804,1746680,19746227,33590,21162,922835,2645,15986,258699,2643,2014
Two or more races,9605771,318857056,83701,572418,19746227,19210,21987,922835,3664,7983,258699,1779,2014
Two races including Some other race,1478726,318857056,31265,137065,19746227,8803,4152,922835,1229,2267,258699,734,2014
"Two races excluding Some other race, and three or more races",8127045,318857056,69401,435353,19746227,17034,17835,922835,3218,5716,258699,1632,2014
