"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","New York!!Estimate","New York!!Margin of Error","Erie County, New York!!Estimate","Erie County, New York!!Margin of Error","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","323,127,515","*****","19,745,289","*****","921,046","*****","256,908","±38"
"    White alone","234,644,039","±111,971","12,530,463","±29,879","718,970","±3,294","120,967","±4,783"
"    Black or African American alone","40,893,369","±64,285","3,080,534","±18,978","122,691","±2,436","94,657","±3,356"
"    American Indian and Alaska Native alone","2,676,399","±33,067","73,052","±6,204","4,730","±1,272","1,281","±791"
"    Asian alone","17,556,935","±43,427","1,668,036","±11,780","34,132","±1,166","16,617","±2,901"
"    Native Hawaiian and Other Pacific Islander alone","595,986","±11,433","9,236","±2,216","405","±162","240","±193"
"    Some other race alone","16,334,352","±120,967","1,767,107","±34,876","18,740","±3,307","13,529","±2,907"
"    Two or more races:","10,426,435","±90,471","616,861","±22,455","21,378","±3,354","9,617","±2,376"
"        Two races including Some other race","1,543,301","±28,829","148,081","±12,174","3,686","±1,667","2,292","±1,297"
"        Two races excluding Some other race, and three or more races","8,883,134","±79,439","468,780","±19,051","17,692","±2,714","7,325","±1,810"
