tract,trans_totals,estimate,moe,geometry
37,total - white,96,48,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - white,67,41,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - carpooled white,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,public transportation - white,13,22,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,walked - white,16,20,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,taxi or other means - white,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,wfh - white,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,total - black,831,235,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - black,524,172,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
37,car/van/truck - carpooled black,0,12,"list(list(c(-78.814758, -78.814718, -78.814717, -78.813705, -78.81369, -78.813479, -78.812595, -78.812585, -78.810491, -78.808718, -78.807764, -78.806828, -78.805883, -78.805904, -78.80397, -78.804033, -78.803601, -78.803681, -78.803789, -78.805788, -78.809288, -78.809774, -78.811511, -78.813709, -78.814751, -78.814758, 42.912214, 42.91223, 42.914673, 42.917019, 42.918638, 42.918639, 42.918646, 42.922671, 42.922688, 42.9227, 42.92271, 42.922721, 42.922729, 42.91908, 42.919066, 42.916518, 42.916694, 
42.913641, 42.909789, 42.909786, 42.909785, 42.909784, 42.909777, 42.909764, 42.909754, 42.912214)))"
