"Label (Grouping)","Buffalo city, New York!!Estimate","Buffalo city, New York!!Margin of Error"
"Total:","261,004","±77"
"    White alone","131,274","±4,404"
"    Black or African American alone","96,909","±4,143"
"    American Indian and Alaska Native alone","1,317","±537"
"    Asian alone","8,238","±1,970"
"    Native Hawaiian and Other Pacific Islander alone","62","±69"
"    Some other race alone","11,360","±2,665"
"    Two or more races:","11,844","±2,564"
"        Two races including Some other race","2,944","±1,428"
"        Two races excluding Some other race, and three or more races","8,900","±2,332"
